Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
155,Sundiata Gaines\gainesu01,PG,24,TOR,6,0,15.0,2.5,5.8,.429,0.5,2.5,.200,2.0,3.3,.600,.471,0.3,1.0,.333,0.3,1.0,1.3,1.8,0.7,0.2,1.3,1.7,5.8
155,Sundiata Gaines\gainesu01,PG,24,NJN,10,0,14.6,2.0,4.8,.417,0.4,1.7,.235,1.6,3.1,.516,.458,1.1,2.0,.550,1.0,1.4,2.4,2.5,0.9,0.0,1.3,1.1,5.5
156,Danilo Gallinari\gallida01,PF-SF,22,TOT,62,60,33.9,4.3,10.3,.414,1.7,4.7,.352,2.6,5.6,.467,.495,5.4,6.3,.862,1.0,4.0,4.9,1.7,0.8,0.4,1.3,2.3,15.6
156,Danilo Gallinari\gallida01,PF,22,NYK,48,48,34.8,4.4,10.6,.415,1.7,5.0,.347,2.7,5.6,.474,.496,5.4,6.0,.893,1.0,3.8,4.8,1.7,0.8,0.4,1.2,2.4,15.9
156,Danilo Gallinari\gallida01,SF,22,DEN,14,12,30.9,3.9,9.4,.412,1.4,3.9,.370,2.4,5.5,.442,.489,5.6,7.2,.772,0.8,4.6,5.4,1.6,0.9,0.6,1.8,1.9,14.7
157,Francisco García\garcifr01,SF,29,SAC,58,34,23.9,3.6,8.2,.436,1.4,3.9,.362,2.2,4.3,.502,.521,1.1,1.3,.855,0.4,1.9,2.3,1.2,0.9,0.8,0.8,2.2,9.7
158,Kevin Garnett*\garneke01,PF,34,BOS,71,71,31.3,6.1,11.6,.528,0.0,0.1,.200,6.1,11.5,.530,.529,2.6,3.1,.862,1.2,7.7,8.9,2.4,1.3,0.8,1.6,2.1,14.9
159,Marc Gasol\gasolma01,C,26,MEM,81,81,31.9,4.5,8.5,.527,0.0,0.1,.429,4.5,8.4,.528,.529,2.7,3.6,.748,1.9,5.1,7.0,2.5,0.9,1.7,1.8,3.3,11.7
160,Pau Gasol\gasolpa01,C,30,LAL,82,82,37.0,7.2,13.7,.529,0.0,0.0,.333,7.2,13.6,.530,.530,4.3,5.2,.823,3.3,6.9,10.2,3.3,0.6,1.6,1.7,2.5,18.8
161,Rudy Gay\gayru01,SF,24,MEM,54,54,39.9,7.6,16.1,.471,1.1,2.7,.396,6.5,13.4,.486,.503,3.6,4.5,.805,1.5,4.7,6.2,2.8,1.7,1.1,2.5,2.4,19.8
162,Alonzo Gee\geeal01,SG,23,TOT,56,34,20.0,2.2,4.7,.458,0.3,0.9,.333,1.9,3.8,.488,.491,1.3,1.6,.783,1.1,2.1,3.3,0.7,0.7,0.3,1.0,1.7,5.9
162,Alonzo Gee\geeal01,SG,23,SAS,5,0,3.6,0.2,0.6,.333,0.0,0.0,,0.2,0.6,.333,.333,0.0,0.0,,0.4,0.2,0.6,0.0,0.0,0.4,0.6,0.6,0.4
162,Alonzo Gee\geeal01,SG,23,WAS,11,5,11.5,1.1,2.5,.444,0.0,0.2,.000,1.1,2.3,.480,.444,0.7,1.1,.667,1.0,1.0,2.0,0.5,0.6,0.0,0.7,0.9,2.9
162,Alonzo Gee\geeal01,SG,23,CLE,40,29,24.3,2.7,5.9,.462,0.4,1.2,.347,2.3,4.6,.492,.498,1.6,2.0,.800,1.2,2.7,3.9,0.8,0.8,0.4,1.1,2.0,7.4
